"UrbanRural","TotalIncomeLastYear","TotalExpLastQ"
1,13180,3261.9
1,82440,11435.1667
1,200000,10886.8334
1,50456,4540.2667
1,64924,26138.1
1,182000,14327.6666
1,107764,12063.2
1,17631,2329.1333
1,17508,16547.8
1,80000,13426
1,15935,4762
1,39716,9742.8
1,75000,16113.3998
1,95400,15418.3335
1,13500,2406.5
1,13380,654.1667
1,109000,9529.1667
1,45500,7721.85
1,4,5902.9333
1,22344,9744.8
1,65350,3989.4167
1,40364,3907.3
1,354386,14811.2245
1,20000,4610.6667
1,11500,4607.3334
1,3432,7784.6
1,22076,13839.0001
1,60000,6557.6667
1,175000,19711.7
1,15000,1806.6667
1,152200,6964.05
1,38000,9671.75
1,36030,3446.1333
1,8380,1036.4667
1,160000,32153
1,13028,574.6333
1,133448,7557.7667
1,40000,8250.6667
1,264926,9418.7368
2,33000,2456.4333
1,119795,12664.0001
1,40000,7720.55
1,117200,14296.2244
1,37280,6963.9666
1,12000,4699.5
1,150000,11809.7999
1,25000,1586.75
1,6000,2007.25
1,32088,2571.4667
1,97512,28411.0502
1,96324,10497.4999
1,7176,2304.95
1,96060,10465.8501
1,165500,12292.1665
1,165000,4443.9167
1,150000,12635.5579
1,50000,13574.4999
1,306460,25327.0001
1,43200,7613.95
1,11485,4842.2499
1,75000,4522.3666
1,3465,1581.2499
1,6188,2659
1,24852,11552.8
1,20000,5510.5
1,300000,31632.0577
1,137800,13236.5
1,14882,11241.1999
2,19892,4497.6
1,24000,6385.1789
1,451886,11018.7789
1,28000,34512
1,250416,20400.8001
1,2000,4633.75
1,13411,11185.95
1,77000,22108.7501
1,55000,2522.8333
1,40000,5778.8667
2,66000,4051.8
1,13608,2516.9333
1,20048,5852.5001
1,270201,10255.1955
1,134000,10994.2666
1,60000,5367.1667
1,42869,11271.8
1,20800,5244.7499
1,14808,4472.4667
1,99670,57672.0333
1,18000,28036.4232
1,4000,2278.3333
1,45017,4913.55
1,75000,16322.5001
1,40000,6010
1,27600,2845.6667
1,38864,1689.0667
1,43002,10800.65
1,29760,3072.0833
1,18540,4688.8667
1,39216,16847.2
1,98140,10483.6001
1,28840,8855.2667
1,62000,2757.5833
1,324386,18619.8913
1,13704,9239.4
1,130000,9256.8333
1,60454,10832.7501
1,21012,2670.4667
1,50000,14812.5
2,20808,1361
1,21000,6347.1667
1,2509,3277
1,1204,10112.5
1,49552,2040.05
1,55150,8357.3499
1,40696,9839.3
1,31396,7175.2499
1,49001,10221.9001
1,49556,4537.6333
1,110000,11295.25
1,15400,2552
1,54169,8718.2667
1,42072,1532.25
1,22044,8276
1,31164,14223
1,9072,2125
1,480593,60507.0868
1,100000,15194.1001
1,60000,3722
1,300025,22602.0733
1,6768,8127.9001
1,75000,9702.6667
1,92608,2120.0667
1,151716,5010.5833
1,12000,2250
1,55000,8689.7999
1,30000,8280.4001
1,68968,7746.6001
1,137120,28376.2501
1,160000,13072.4333
1,45000,8619.2333
1,62000,14734.8333
1,79785,20105.3333
